12:19, nedjelja, prosinac 01, 2024
Study name:Thermal 1
Units: Celsius
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,TEMP (Celsius)
7453  ,11.2589  ,19.8572  ,42.7741  ,2.61534e+01
6160  ,6.73212  ,20.8097  ,31.1232  ,2.61529e+01
704  ,15.4589  ,19.8572  ,26.1952  ,2.61529e+01
711  ,15.4589  ,19.8572  ,41.6689  ,2.61528e+01
866  ,7.0589  ,19.8572  ,26.1952  ,2.61527e+01
873  ,7.0589  ,19.8572  ,41.6689  ,2.61527e+01
6166  ,8.00663  ,20.6609  ,28.9076  ,2.61525e+01
6154  ,6.03696  ,20.7919  ,32.8448  ,2.61523e+01
7087  ,16.9588  ,20.6775  ,32.4689  ,2.61518e+01
7524  ,12.3089  ,19.8572  ,25.0899  ,2.61508e+01
7513  ,10.2089  ,19.8572  ,25.0899  ,2.61508e+01
7440  ,10.2089  ,19.8572  ,42.7741  ,2.61508e+01
7108  ,18.6089  ,19.8572  ,29.511  ,2.61508e+01
7451  ,12.3089  ,19.8572  ,42.7741  ,2.61508e+01
7078  ,18.6089  ,19.8572  ,38.3531  ,2.61507e+01
6004  ,3.9089  ,19.8572  ,38.3531  ,2.61506e+01
6034  ,3.9089  ,19.8572  ,29.511  ,2.61505e+01
6135  ,6.7089  ,20.8572  ,36.8794  ,2.61496e+01
6162  ,6.33912  ,20.6693  ,30.272  ,2.61494e+01
6983  ,19.6589  ,19.8572  ,31.7215  ,2.61487e+01
6969  ,19.6589  ,19.8572  ,36.1426  ,2.61487e+01
7499  ,11.6089  ,20.8043  ,28.0373  ,2.61486e+01
5910  ,2.8589  ,19.8572  ,31.7215  ,2.61485e+01
5897  ,2.8589  ,19.8572  ,36.1426  ,2.61485e+01
7200  ,15.0904  ,20.8456  ,37.9873  ,2.61485e+01
7372  ,13.3589  ,19.8572  ,25.0899  ,2.61482e+01
7315  ,13.3589  ,19.8572  ,42.7741  ,2.61482e+01
6301  ,9.1589  ,19.8572  ,25.0899  ,2.61481e+01
6252  ,9.1589  ,19.8572  ,42.7741  ,2.61481e+01
7221  ,15.1532  ,20.9212  ,30.2526  ,2.61478e+01
